price/kg,price,product name,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Glucides,Dont sucres,Protéines,Sel,category,subcategory,sub_sub_category,Fibres alimentaires,Sodium
"18,53€/kg","4,17",Yooji Bâtonnets à manger-main maïs et semoule Bio 225g,,469.00 kJ,112.00 kcal,2.10 g,0.30 g,19.00 g,1.70 g,2.70 g,< 0.02 g,Surgelés,Légumes et fruits,Légumes,,
"18,18€/kg","4,09",Yooji Bâtonnets à manger-main betterave et quinoa Bio 225g,,418.00 kJ,100.00 kcal,2.30 g,0.20 g,15.00 g,2.70 g,3.30 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"11,65€/kg","5,59",Yooji purée lisse de potiron bio en galets dès 4 mois 480g,,133.00 kJ,32.00 kcal,< 0.50 g,0.20 g,4.90 g,4.40 g,0.60 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"10,40€/kg","4,99",Yooji Purée lisse de patate douce bio en galets dès 4 mois 480g,,206.00 kJ,49.00 kcal,0 g,0 g,10.00 g,3.60 g,0.80 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"18,63€/kg","5,59",Magda girolles à la crème 300g,B,288.37 kJ,68.92 kcal,4.88 g,3.05 g,2.57 g,1.91 g,2.67 g,304.97 g,Surgelés,Légumes et fruits,Légumes,,
"18,00€/kg","4,05",Yooji Bâtonnets à manger-main haricot vert semoule Bio 225g,,452.00 kJ,108.10 kcal,1.80 g,0.10 g,17.00 g,0.90 g,3.70 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"11,98€/kg","5,75",Yooji purée de ratatouille bio avec morceaux dès 9 mois 480g,,159.00 kJ,38.00 kcal,0 g,0 g,7.60 g,2.20 g,1.00 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"4,90€/kg","4,90","Christophine Chouchou épluchée, prête à cuire, congelée 1kg",,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"1,85€/kg","1,85",Top Budget haricots verts très fins surgelés 1kg,A,137.33 kJ,32.74 kcal,0.50 g,0.10 g,4.30 g,2.03 g,2.07 g,0.01 g,Surgelés,Légumes et fruits,Légumes,,
"4,60€/kg","3,45",Bonduelle duo de carottes & panais 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"17,63€/kg","5,29",Magda poêlée aux cèpes & beurre persillé 300g,A,< 363.00 kJ,< 87.00 kcal,< 5.20 g,< 2.80 g,< 5.50 g,1.60 g,< 3.50 g,0.40 g,Surgelés,Légumes et fruits,Légumes,< 2.20 g,< 0.09 mg
"58,53€/kg","8,78",Magda morilles entières 150g,A,106.70 kJ,25.50 kcal,0.30 g,0.10 g,0.50 g,0 g,1.70 g,0.01 g,Surgelés,Légumes et fruits,Légumes,,
"12,27€/kg","5,89",Yooji Purée de légumes bio pot au feu avec des morceaux en galets dès 9 mois 480g,,144.00 kJ,34.00 kcal,0 g,0 g,6.20 g,1.50 g,1.00 g,0.02 g,Surgelés,Légumes et fruits,Légumes,,
