region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs",Fromages apéritifs et salades,3.19,1.79,5.15,0.0,0.0,0.0,81.8,18.2,87.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs",Fromages râpés,3.0,0.96,8.77,0.0,0.0,9.5,90.5,0.0,79.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs","Fromages sandwich, burger et croque",2.82,0.98,5.98,0.0,0.0,0.0,75.0,25.0,86.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs","Mozzarella, feta, ricotta, mascarpone",2.9,0.95,6.03,0.0,0.0,47.4,47.4,5.3,56.99999999999999
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs","Raclette, fondue et tartiflette",4.86,2.05,8.62,0.0,0.0,0.0,86.2,13.8,81.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Lait et boissons végétales,Boissons végétales,2.53,1.19,5.23,27.900000000000002,72.1,0.0,0.0,0.0,30.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Lait et boissons végétales,Laits et boissons lactées,3.47,0.63,8.89,55.400000000000006,44.6,0.0,0.0,0.0,61.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Oeufs, beurres et crème","Beurres, margarines et autres graisses",3.34,1.24,7.53,0.0,0.0,31.1,28.299999999999997,40.6,60.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Oeufs, beurres et crème",Crèmes fraîches et chantilly,2.91,0.51,6.41,0.0,0.0,0.0,100.0,0.0,83.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Oeufs, beurres et crème",Oeufs,3.42,1.22,8.68,100.0,0.0,0.0,0.0,0.0,26.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Raclette, fondue et tartiflette",Charcuterie,3.53,0.76,8.05,0.0,43.0,36.199999999999996,17.7,3.0,27.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Raclette, fondue et tartiflette",Condiments,3.4,0.73,8.59,0.0,3.5999999999999996,71.39999999999999,25.0,0.0,61.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts","Raclette, fondue et tartiflette",Fromages,4.92,2.05,8.62,0.0,0.0,0.0,89.3,10.7,81.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Allégés et bien-être,2.97,1.24,7.08,54.800000000000004,44.0,1.2,0.0,0.0,19.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Compotes,2.53,1.19,6.52,92.30000000000001,4.1000000000000005,3.5999999999999996,0.0,0.0,6.0
