region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres",Cordons bleus et nuggets,4.22,2.02,10.09,0.0,0.848,0.152,0.0,0.0,0.07
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres",Dinde,7.07,2.24,25.52,0.615,0.269,0.058,0.058,0.0,0.44
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres",Lapin,12.35,5.82,23.85,0.9,0.1,0.0,0.0,0.0,0.38
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres","Pintade, poule et coq",14.73,5.13,23.98,0.0,0.833,0.167,0.0,0.0,0.5
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres",Poulet,7.81,1.5,25.8,0.4,0.562,0.031,0.008,0.0,0.41
Normandie,Epicerie salée,Conserves et plats cuisinés,Conserves de légumes,2.35,0.69,6.11,0.976,0.024,0.0,0.0,0.0,0.29
Normandie,Epicerie salée,Conserves et plats cuisinés,Conserves de poisson,2.81,0.89,6.99,0.085,0.423,0.394,0.077,0.021,0.48
Normandie,Epicerie salée,Conserves et plats cuisinés,Plats cuisinés en conserve et bocaux,3.17,0.49,6.66,0.308,0.626,0.066,0.0,0.0,0.54
Normandie,Epicerie salée,Conserves et plats cuisinés,Plats cuisinés micro-ondable et déshydratés,1.88,0.72,3.98,0.098,0.537,0.195,0.171,0.0,0.18
Normandie,Epicerie salée,Conserves et plats cuisinés,"Pâtés, terrines, foie gras et conserves de viande",3.05,1.42,6.02,0.0,0.0,0.059,0.412,0.529,0.69
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Bouillons et aides culinaires,2.36,0.82,6.92,0.078,0.286,0.506,0.065,0.065,0.2
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Herbes et épices,2.65,1.08,5.88,0.779,0.044,0.124,0.044,0.009,0.43
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Huiles,4.19,1.85,6.89,0.0,0.0,0.588,0.412,0.0,0.21
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Ketchup, mayonnaise, moutarde et sauces froides",2.45,0.79,5.18,0.0,0.0,0.147,0.706,0.147,0.7
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Olives, cornichons, câpres et légumes marinés",3.07,0.71,6.14,0.0,0.033,0.967,0.0,0.0,0.81
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Sauces tomate et sauces à cuisiner,2.06,0.64,5.06,0.532,0.171,0.171,0.126,0.0,0.31
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Sel et poivre,2.75,0.4,5.13,0.743,0.029,0.229,0.0,0.0,0.53
Normandie,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Vinaigres, vinaigrettes et sauces crudités",2.54,0.49,6.89,0.0,0.226,0.419,0.355,0.0,0.68
Normandie,Epicerie salée,Pour l'apéritif,Biscuits salés,1.68,0.45,6.75,0.0,0.028,0.25,0.435,0.287,0.41
Normandie,Epicerie salée,Pour l'apéritif,"Cacahuètes, pistaches et mélanges",2.84,0.82,6.34,0.133,0.24,0.507,0.12,0.0,0.06
Normandie,Epicerie salée,Pour l'apéritif,Chips,2.14,0.81,4.17,0.0,0.067,0.856,0.078,0.0,0.04
Normandie,Epicerie salée,Pour l'apéritif,"Olives, cornichons, câpres et légumes marinés",3.07,0.71,6.14,0.0,0.033,0.967,0.0,0.0,0.81
Normandie,Epicerie salée,Pour l'apéritif,Saucisses cocktail,2.82,1.18,4.2,0.0,0.0,0.0,0.286,0.714,0.0
Normandie,Epicerie salée,Pour l'apéritif,Tuiles et tortillas,2.12,0.95,2.96,0.0,0.286,0.524,0.19,0.0,0.05
Normandie,Epicerie salée,"Pâtes, riz, purée, légumes secs","Blés, semoules et céréales",2.55,0.99,5.13,0.929,0.054,0.018,0.0,0.0,0.07
Normandie,Epicerie salée,"Pâtes, riz, purée, légumes secs",Légumes secs,2.79,1.2,5.49,1.0,0.0,0.0,0.0,0.0,0.52
Normandie,Epicerie salée,"Pâtes, riz, purée, légumes secs",Purées,2.55,1.31,4.76,0.769,0.231,0.0,0.0,0.0,0.07
Normandie,Epicerie salée,"Pâtes, riz, purée, légumes secs",Pâtes,1.68,0.91,3.99,0.981,0.006,0.013,0.0,0.0,0.23
Normandie,Epicerie salée,"Pâtes, riz, purée, légumes secs",Riz,2.52,0.99,4.73,0.451,0.51,0.039,0.0,0.0,0.29
Normandie,Epicerie salée,"Pâtes, riz, purée, légumes secs",Sauces tomate et sauces à cuisiner,2.06,0.64,5.06,0.532,0.171,0.171,0.126,0.0,0.31
Normandie,Epicerie salée,Saveurs du monde,Asie,2.71,0.59,6.41,0.06,0.214,0.31,0.31,0.107,0.4
Normandie,Epicerie salée,Saveurs du monde,Créole,2.22,0.66,6.07,0.105,0.263,0.474,0.158,0.0,0.0
Normandie,Epicerie salée,Saveurs du monde,Europe et Méditerrannée,2.92,1.0,6.99,0.053,0.105,0.526,0.316,0.0,0.65
Normandie,Epicerie salée,Saveurs du monde,Grande-Bretagne et USA,4.5,3.63,5.43,0.0,0.0,0.5,0.5,0.0,0.5
Normandie,Epicerie salée,Saveurs du monde,Orient,2.81,0.77,5.15,0.29,0.129,0.194,0.29,0.097,0.06
Normandie,Epicerie salée,Saveurs du monde,Tex Mex,3.62,1.3,6.29,0.103,0.282,0.462,0.128,0.026,0.11
Normandie,Epicerie sucrée,Biscuits,Biscuits au chocolat et cookies,2.19,0.85,4.99,0.0,0.0,0.07,0.408,0.521,0.62
Normandie,Epicerie sucrée,Biscuits,Biscuits aux fruits,1.72,0.92,2.99,0.0,0.0,0.0,0.625,0.375,0.3
Normandie,Epicerie sucrée,Biscuits,"Biscuits secs, sablés et assortiments",2.06,0.7,8.64,0.016,0.0,0.016,0.143,0.825,0.49
Normandie,Epicerie sucrée,Cafés,Café soluble,4.52,2.09,7.56,0.091,0.0,0.0,0.545,0.364,0.78
Normandie,Epicerie sucrée,Cafés,Chicorée,3.93,1.44,7.61,0.333,0.222,0.0,0.111,0.333,0.31
Normandie,Epicerie sucrée,Cafés,Dosettes et capsules,4.72,1.59,8.98,0.062,0.188,0.125,0.5,0.125,0.92
Normandie,Epicerie sucrée,Chocolats et confiseries,Bonbons,2.44,0.89,7.06,0.0,0.119,0.024,0.738,0.119,0.8
